player,team,opp,date,pts,trb,ast,fg,fga,fg_pct,threeP,ft,fta,gmsc,plus_minus,win,pts_rank
Devin Booker,PHO,MIN,2024-11-17 00:00:00,44,6,7,15,29,0.517,6,8,9,32.3,4.0,0,41
Ja Morant,MEM,CLE,2025-03-14 00:00:00,44,8,7,17,22,0.773,1,9,10,40.1,-6.0,0,41
Jalen Brunson,NYK,MIL,2025-01-12 00:00:00,44,5,6,16,26,0.615,5,7,8,37.9,23.0,1,41
Jaylen Brown,BOS,IND,2024-12-27 00:00:00,44,5,3,16,24,0.667,6,6,6,41.4,30.0,1,41
Karl-Anthony Towns,NYK,MIA,2024-10-30 00:00:00,44,13,2,17,25,0.68,4,6,6,35.8,15.0,1,41
Karl-Anthony Towns,NYK,CHI,2025-01-04 00:00:00,44,16,5,17,29,0.586,3,7,10,36.8,-5.0,0,41
Karl-Anthony Towns,NYK,ATL,2025-02-12 00:00:00,44,10,3,14,25,0.56,7,9,11,30.2,7.0,1,41
LaMelo Ball,CHO,ORL,2024-11-25 00:00:00,44,9,7,17,30,0.567,4,6,8,29.7,-2.0,0,41
Nikola Jokić,DEN,OKC,2025-05-13 00:00:00,44,15,5,17,25,0.68,5,5,5,42.1,-8.0,0,41
Quentin Grimes,PHI,GSW,2025-03-01 00:00:00,44,6,1,18,24,0.75,6,2,8,35.4,-5.0,1,41
Anthony Edwards,MIN,UTA,2025-04-13 00:00:00,43,6,5,15,31,0.484,7,6,7,33.5,20.0,1,56
Anthony Edwards,MIN,LAL,2025-04-27 00:00:00,43,9,6,12,23,0.522,5,14,17,37.9,3.0,1,56
CJ McCollum,NOP,SAC,2025-02-13 00:00:00,43,7,2,16,25,0.64,7,4,6,33.0,8.0,1,56
Cam Thomas,BRK,NYK,2024-11-15 00:00:00,43,2,3,16,22,0.727,7,4,6,32.8,-1.0,0,56
Damian Lillard,MIL,PHI,2025-02-09 00:00:00,43,7,8,14,27,0.519,8,7,7,35.4,3.0,1,56
Donovan Mitchell,CLE,IND,2025-05-09 00:00:00,43,9,5,14,29,0.483,5,10,14,32.3,35.0,1,56
Giannis Antetokounmpo,MIL,BOS,2024-11-10 00:00:00,43,13,5,18,29,0.621,1,6,10,34.9,-6.0,0,56
Jalen Brunson,NYK,IND,2025-05-21 00:00:00,43,1,5,15,25,0.6,1,12,14,25.5,-8.0,0,56
Jamal Murray,DEN,LAC,2025-04-29 00:00:00,43,5,7,17,26,0.654,8,1,1,39.9,17.0,1,56
James Harden,LAC,WAS,2024-11-27 00:00:00,43,4,7,13,22,0.591,7,10,11,37.9,25.0,1,56
Jayson Tatum,BOS,CHI,2024-12-21 00:00:00,43,15,10,16,24,0.667,9,2,2,39.7,13.0,1,56
Kevin Durant,PHO,DET,2024-12-21 00:00:00,43,5,6,14,26,0.538,4,11,11,28.9,-9.0,0,56
Kyrie Irving,DAL,DEN,2024-11-10 00:00:00,43,5,5,17,22,0.773,6,3,3,39.7,-6.0,0,56
Paolo Banchero,ORL,MIN,2025-03-14 00:00:00,43,10,3,16,32,0.5,2,9,11,29.9,-2.0,0,56
Pat Connaughton,MIL,DET,2025-04-13 00:00:00,43,11,5,16,29,0.552,5,6,9,34.3,7.0,1,56
Payton Pritchard,BOS,POR,2025-03-05 00:00:00,43,10,5,14,20,0.7,10,5,5,41.9,12.0,1,56
Trae Young,ATL,PHO,2025-01-14 00:00:00,43,3,5,13,31,0.419,6,11,14,26.7,10.0,1,56
Tyrese Maxey,PHI,LAL,2025-01-28 00:00:00,43,3,2,15,26,0.577,4,9,9,32.5,20.0,1,56
Zach LaVine,SAC,DET,2025-04-07 00:00:00,43,3,4,16,28,0.571,8,3,4,31.5,6.0,1,56
Andrew Wiggins,MIA,CHO,2025-03-23 00:00:00,42,3,5,16,21,0.762,6,4,7,36.8,22.0,1,75
Anthony Davis,LAL,CHO,2025-01-27 00:00:00,42,23,2,17,28,0.607,0,8,10,35.7,16.0,1,75
DeMar DeRozan,SAC,DAL,2025-02-10 00:00:00,42,7,3,15,22,0.682,4,8,8,35.0,21.0,1,75
Giannis Antetokounmpo,MIL,WAS,2024-11-30 00:00:00,42,12,11,15,24,0.625,0,12,17,38.0,9.0,1,75
Jalen Brunson,NYK,HOU,2025-02-03 00:00:00,42,6,10,14,27,0.519,1,13,14,35.5,12.0,1,75
Jalen Green,HOU,MEM,2025-01-13 00:00:00,42,3,4,13,18,0.722,5,11,11,35.9,8.0,1,75
Jaren Jackson Jr.,MEM,SAS,2025-03-01 00:00:00,42,4,2,15,25,0.6,5,7,8,33.3,10.0,0,75
Jayson Tatum,BOS,NYK,2025-05-12 00:00:00,42,8,4,16,28,0.571,7,3,3,34.2,-9.0,0,75
Jordan Poole,WAS,SAS,2024-11-13 00:00:00,42,2,6,15,22,0.682,6,6,6,34.4,-6.0,0,75
Jordan Poole,WAS,IND,2025-02-12 00:00:00,42,5,5,15,29,0.517,6,6,6,29.4,-8.0,0,75
Kevin Durant,PHO,CLE,2025-03-21 00:00:00,42,6,8,17,29,0.586,4,4,4,33.2,7.0,1,75
Kyrie Irving,DAL,GSW,2025-02-12 00:00:00,42,7,0,15,25,0.6,7,5,5,30.2,8.0,1,75
LeBron James,LAL,GSW,2025-02-06 00:00:00,42,17,8,14,25,0.56,6,8,10,38.7,7.0,1,75
Nikola Jokić,DEN,OKC,2025-05-05 00:00:00,42,22,6,15,29,0.517,2,10,13,32.7,10.0,1,75
Shai Gilgeous-Alexander,OKC,LAL,2025-04-08 00:00:00,42,6,6,14,26,0.538,5,9,11,32.7,7.0,1,75
Tyrese Maxey,PHI,DEN,2025-01-31 00:00:00,42,2,9,15,26,0.577,6,6,8,32.1,-1.0,0,75
Victor Wembanyama,SAS,ATL,2024-12-19 00:00:00,42,6,5,13,24,0.542,7,9,12,34.3,17.0,1,75
Victor Wembanyama,SAS,NYK,2024-12-25 00:00:00,42,18,4,16,31,0.516,6,4,4,35.1,7.0,0,75
Zach LaVine,SAC,CHO,2025-02-24 00:00:00,42,3,2,16,19,0.842,8,2,3,35.0,36.0,1,75
Aaron Wiggins,OKC,SAC,2025-02-01 00:00:00,41,14,3,16,30,0.533,6,3,4,31.9,31.0,1,94
Anthony Edwards,MIN,WAS,2025-01-13 00:00:00,41,6,7,14,25,0.56,5,8,8,32.5,18.0,1,94
Anthony Edwards,MIN,HOU,2025-02-06 00:00:00,41,7,6,11,25,0.44,5,14,15,30.1,9.0,1,94
Anthony Edwards,MIN,UTA,2025-03-16 00:00:00,41,2,2,16,27,0.593,5,4,6,29.3,31.0,1,94
Damian Lillard,MIL,CLE,2024-11-02 00:00:00,41,4,9,13,24,0.542,10,5,8,33.8,3.0,0,94
Derrick White,BOS,POR,2025-03-05 00:00:00,41,3,2,14,26,0.538,9,4,4,33.4,8.0,1,94
Devin Booker,PHO,CHI,2025-03-19 00:00:00,41,4,7,14,26,0.538,6,7,7,30.9,10.0,1,94
Donovan Mitchell,CLE,BOS,2025-02-28 00:00:00,41,3,5,13,26,0.5,5,10,11,30.6,0.0,1,94
Evan Mobley,CLE,CHO,2024-12-07 00:00:00,41,10,2,16,23,0.696,6,3,4,35.0,19.0,1,94
Giannis Antetokounmpo,MIL,CHI,2024-11-20 00:00:00,41,9,8,17,24,0.708,0,7,14,36.5,7.0,1,94
Giannis Antetokounmpo,MIL,ORL,2025-01-10 00:00:00,41,14,4,19,29,0.655,0,3,10,33.5,-3.0,1,94
Jaime Jaquez Jr.,MIA,WAS,2025-04-13 00:00:00,41,10,7,17,25,0.68,2,5,7,34.0,-4.0,0,94
Jalen Green,HOU,PHI,2024-11-27 00:00:00,41,7,2,12,20,0.6,4,13,14,32.6,3.0,1,94
Jalen Williams,OKC,SAS,2025-03-02 00:00:00,41,6,6,15,24,0.625,4,7,7,37.1,12.0,1,94
James Harden,LAC,UTA,2024-12-16 00:00:00,41,1,6,11,17,0.647,7,12,14,34.1,27.0,1,94
Mikal Bridges,NYK,SAS,2024-12-25 00:00:00,41,1,4,17,25,0.68,6,1,1,36.4,8.0,1,94
Nikola Jokić,DEN,LAC,2024-10-26 00:00:00,41,9,4,14,26,0.538,7,6,8,31.2,7.0,0,94
Nikola Jokić,DEN,SAS,2025-01-03 00:00:00,41,18,9,15,36,0.417,3,8,9,33.5,7.0,0,94
Nikola Jokić,DEN,IND,2025-04-06 00:00:00,41,15,13,18,33,0.545,3,2,3,38.2,1.0,0,94
Norman Powell,LAC,UTA,2025-02-13 00:00:00,41,3,1,13,26,0.5,5,10,13,26.0,13.0,1,94
Paolo Banchero,ORL,GSW,2025-02-27 00:00:00,41,6,5,16,27,0.593,4,5,8,28.0,-12.0,0,94
Paolo Banchero,ORL,TOR,2025-03-04 00:00:00,41,8,8,14,20,0.7,4,9,10,41.1,-6.0,0,94
Shai Gilgeous-Alexander,OKC,WAS,2024-12-23 00:00:00,41,9,3,14,25,0.56,3,10,10,36.0,25.0,1,94
Shai Gilgeous-Alexander,OKC,MEM,2025-03-05 00:00:00,41,2,8,14,25,0.56,3,10,10,31.3,19.0,1,94
Trey Murphy III,NOP,DEN,2025-02-03 00:00:00,41,3,3,13,21,0.619,8,7,7,37.2,-9.0,0,94
Anthony Davis,LAL,SAS,2024-11-15 00:00:00,40,12,2,14,26,0.538,2,10,12,33.6,12.0,1,119
Anthony Davis,LAL,MEM,2024-12-15 00:00:00,40,16,2,15,22,0.682,1,9,12,34.3,14.0,1,119
Anthony Davis,DAL,MEM,2025-04-18 00:00:00,40,9,2,16,29,0.552,2,6,8,28.9,-18.0,0,119
CJ McCollum,NOP,DET,2025-03-23 00:00:00,40,5,7,16,28,0.571,5,3,5,31.0,3.0,0,119
Cade Cunningham,DET,MIN,2025-01-04 00:00:00,40,6,9,15,29,0.517,4,6,7,30.2,24.0,1,119
