player,team,games_played,avg_pts,avg_reb,avg_ast,avg_stl,avg_blk,avg_tov,avg_fg_pct,avg_3p_pct,avg_ts_pct,avg_gmsc,avg_plus_minus,win_pct,pts_rank,gmsc_rank,ts_rank
Miles McBride,NYK,80,8.9,2.3,2.5,0.9,0.2,0.7,0.4,0.357,0.534,7.1,2.9,58.8,190,198,208
Quinten Post,GSW,42,8.9,4.1,1.6,0.5,0.5,0.9,0.425,0.392,0.571,6.7,1.1,66.7,190,210,127
Chris Paul,SAS,82,8.8,3.6,7.4,1.3,0.3,1.6,0.433,0.387,0.593,10.6,0.0,41.5,195,102,80
Al Horford,BOS,71,8.8,6.1,2.1,0.6,0.9,0.7,0.425,0.365,0.559,8.5,5.7,70.4,195,151,159
Jalen Smith,CHI,59,8.8,5.9,1.0,0.3,0.7,0.6,0.467,0.321,0.587,7.8,-0.7,40.7,195,171,92
Kentavious Caldwell-Pope,ORL,80,8.8,2.3,1.8,1.3,0.5,0.8,0.414,0.318,0.549,7.1,-0.3,48.8,195,198,178
Kyshawn George,WAS,67,8.8,4.2,2.5,1.0,0.7,1.4,0.35,0.298,0.479,6.4,-5.5,22.4,195,227,256
Patrick Williams,CHI,64,8.8,3.7,1.9,0.8,0.5,1.3,0.386,0.324,0.496,6.3,-3.0,48.4,195,231,247
Trayce Jackson-Davis,GSW,46,8.7,6.5,2.1,0.5,0.8,0.9,0.625,0.0,0.609,9.3,-1.3,43.5,201,137,58
Brandon Clarke,MEM,61,8.7,5.3,1.0,0.8,0.6,0.6,0.607,0.004,0.633,8.5,3.4,65.6,201,151,21
Georges Niang,CLE,51,8.7,3.7,1.3,0.3,0.1,0.9,0.477,0.394,0.615,6.0,3.9,80.4,201,237,45
Goga Bitadze,ORL,57,8.6,7.8,2.2,0.8,1.6,1.2,0.641,0.044,0.66,10.4,1.8,52.6,204,110,10
Seth Curry,CHO,49,8.6,2.1,1.1,0.5,0.1,0.5,0.465,0.423,0.593,6.6,-2.8,26.5,204,216,80
Keon Ellis,SAC,78,8.5,2.7,1.6,1.6,0.8,0.9,0.477,0.399,0.649,8.0,0.4,48.7,206,166,16
Sam Hauser,BOS,73,8.5,3.1,0.9,0.5,0.2,0.4,0.447,0.41,0.627,6.7,4.9,74.0,206,210,30
Tristan Da Silva,ORL,62,8.4,3.8,1.8,0.5,0.3,0.8,0.407,0.325,0.517,6.5,-1.5,46.8,208,220,232
Alex Caruso,OKC,73,8.1,3.0,2.5,1.8,0.6,0.8,0.423,0.359,0.556,8.2,5.5,78.1,209,160,165
Vít Krejčí,ATL,50,8.1,3.0,2.9,0.7,0.5,1.0,0.51,0.421,0.682,7.5,-1.4,50.0,209,181,5
Jamison Battle,TOR,50,8.1,3.0,1.0,0.3,0.2,0.5,0.441,0.406,0.617,5.8,-3.7,32.0,209,241,40
Taurean Prince,MIL,83,8.0,3.5,2.0,0.9,0.2,1.0,0.437,0.424,0.596,6.5,-0.4,56.6,212,220,74
Ryan Dunn,PHO,62,8.0,4.1,0.9,0.7,0.6,0.6,0.432,0.283,0.511,6.0,-2.4,45.2,212,237,235
Day'Ron Sharpe,BRK,50,7.9,6.6,1.8,0.8,0.8,1.3,0.505,0.145,0.563,8.4,1.3,28.0,214,156,148
Cameron Payne,NYK,63,7.9,1.5,3.0,0.6,0.3,0.7,0.395,0.335,0.522,6.2,3.7,60.3,214,234,226
A.J. Green,MIL,76,7.9,2.5,1.6,0.5,0.1,0.6,0.424,0.411,0.616,5.7,3.2,59.2,214,243,43
Mike Conley,MIN,86,7.8,2.6,4.3,1.0,0.2,1.0,0.372,0.395,0.537,7.7,3.7,61.6,217,173,201
Thomas Bryant,IND,52,7.8,4.2,0.9,0.6,0.7,0.6,0.532,0.379,0.658,7.4,-0.2,71.2,217,187,12
Jarace Walker,IND,57,7.8,3.9,1.8,0.9,0.5,1.2,0.472,0.393,0.595,6.5,-1.4,57.9,217,220,77
Dorian Finney-Smith,LAL,48,7.8,3.7,1.5,0.9,0.3,0.9,0.425,0.353,0.565,6.3,5.4,62.5,217,231,141
Jake LaRavia,MEM,44,7.7,4.5,3.0,1.0,0.4,1.5,0.498,0.353,0.61,7.9,4.4,63.6,221,168,55
Cason Wallace,OKC,90,7.7,3.2,2.5,1.7,0.5,0.8,0.474,0.336,0.559,7.7,5.7,77.8,221,173,159
Peyton Watson,DEN,79,7.7,3.4,1.2,0.7,1.3,0.8,0.457,0.294,0.543,6.7,-1.5,58.2,221,210,191
Jamal Shead,TOR,69,7.6,1.6,4.5,0.8,0.1,1.6,0.416,0.33,0.511,5.9,-3.3,36.2,224,239,235
Precious Achiuwa,NYK,48,7.5,6.2,1.1,1.0,0.9,0.9,0.518,0.13,0.537,7.5,-0.2,66.7,225,181,201
Josh Green,CHO,67,7.5,2.6,1.6,1.1,0.2,1.0,0.404,0.336,0.527,5.6,-5.3,25.4,225,244,218
Sam Merrill,CLE,75,7.4,2.3,1.6,0.8,0.2,0.5,0.401,0.365,0.585,5.8,5.1,74.7,227,241,95
Jaxson Hayes,LAL,51,7.3,5.0,1.1,0.6,1.0,0.8,0.744,0.0,0.742,7.6,2.5,72.5,228,179,1
Jeremiah Robinson-Earl,NOP,54,7.3,5.4,1.5,0.7,0.1,0.9,0.472,0.324,0.585,7.0,-5.0,18.5,228,205,95
Haywood Highsmith,MIA,74,7.1,3.6,1.6,1.0,0.5,0.8,0.432,0.351,0.551,6.4,0.2,47.3,230,227,175
DaQuan Jeffries,CHO,44,7.1,3.0,1.2,0.6,0.6,0.8,0.384,0.312,0.486,4.8,-5.5,20.5,230,251,253
Gary Payton II,GSW,61,7.0,3.2,1.5,1.0,0.2,0.7,0.518,0.24,0.59,6.5,0.2,55.7,232,220,87
Trey Lyles,SAC,64,7.0,4.8,1.2,0.6,0.4,0.6,0.423,0.337,0.549,6.3,-0.9,51.6,232,231,178
Landry Shamet,NYK,41,7.0,1.3,0.8,0.5,0.0,0.6,0.481,0.354,0.609,4.6,2.5,61.0,232,255,58
Donovan Clingan,POR,63,6.8,8.1,1.2,0.5,1.7,1.1,0.543,0.163,0.574,8.2,0.2,42.9,235,160,118
Jonathan Mogbo,TOR,55,6.8,5.4,2.6,0.9,0.6,1.2,0.446,0.166,0.493,6.8,-4.0,29.1,235,208,249
Luke Kornet,BOS,72,6.7,5.6,1.6,0.6,1.1,0.5,0.647,0.0,0.674,8.8,6.5,73.6,237,144,7
Moussa Diabaté,CHO,55,6.7,7.3,1.0,0.8,0.7,0.9,0.574,0.0,0.587,8.1,-1.8,18.2,237,164,92
Kenrich Williams,OKC,66,6.7,3.8,1.4,0.7,0.2,0.6,0.474,0.338,0.573,5.9,4.9,80.3,237,239,122
Ron Holland,DET,75,6.7,2.8,1.0,0.6,0.2,0.9,0.467,0.164,0.55,4.8,-0.1,57.3,237,251,177
Davion Mitchell,TOR,42,6.6,2.0,4.8,0.7,0.2,1.9,0.421,0.388,0.529,5.6,-1.5,33.3,241,244,213
Gabe Vincent,LAL,73,6.5,1.3,1.4,0.7,0.2,0.5,0.395,0.318,0.52,4.2,0.5,61.6,242,260,228
Jaylin Williams,OKC,44,6.4,5.9,2.8,0.6,0.7,0.9,0.469,0.41,0.63,7.1,6.3,77.3,243,198,26
Kris Dunn,LAC,81,6.4,3.4,2.7,1.7,0.4,0.9,0.443,0.359,0.545,6.4,3.1,59.3,243,227,189
Isaac Okoro,CLE,57,6.4,2.4,1.2,0.6,0.3,0.5,0.497,0.359,0.629,5.3,5.5,75.4,243,248,27
Isaiah Stewart,DET,68,6.3,5.7,1.8,0.4,1.5,0.9,0.563,0.159,0.611,7.2,-0.1,52.9,246,196,53
Simone Fontecchio,DET,69,6.3,3.0,0.9,0.4,0.2,0.7,0.389,0.308,0.528,4.6,0.8,50.7,246,255,215
Javonte Green,NOP,46,6.2,3.8,0.9,1.1,0.6,0.6,0.434,0.334,0.56,6.1,-4.8,23.9,248,236,157
Tidjane Salaün,CHO,56,6.2,4.9,1.3,0.5,0.3,1.0,0.352,0.298,0.475,4.5,-5.4,19.6,248,257,259
Jonathan Isaac,ORL,64,5.9,4.8,0.7,0.9,1.2,0.5,0.427,0.217,0.521,6.4,-0.6,48.4,250,227,227
Oso Ighodaro,PHO,41,5.9,4.9,1.5,0.6,0.7,0.9,0.645,0.0,0.651,6.2,-0.3,39.0,250,234,13
Kris Murray,POR,45,5.9,3.6,1.4,0.7,0.3,0.8,0.433,0.219,0.477,5.1,-0.0,46.7,250,249,257
Julian Phillips,CHI,57,5.7,2.7,0.6,0.6,0.3,0.4,0.442,0.293,0.551,4.7,1.6,42.1,253,254,175
Dalen Terry,CHI,53,5.6,2.2,1.6,0.7,0.3,0.8,0.431,0.252,0.524,4.5,-1.5,50.9,254,257,223
Ben Sheppard,IND,74,5.3,2.8,1.2,0.6,0.2,0.4,0.423,0.329,0.568,4.4,-0.7,62.2,255,259,131
Mason Plumlee,PHO,61,5.2,6.6,1.9,0.5,0.7,0.8,0.625,0.0,0.631,6.8,0.6,44.3,256,208,25
Steven Adams,HOU,45,5.1,7.1,1.3,0.4,0.7,1.0,0.59,0.0,0.558,6.9,5.0,60.0,257,207,162
Kevon Looney,GSW,68,5.1,6.8,1.6,0.7,0.5,0.6,0.526,0.015,0.535,6.6,1.7,57.4,257,216,205
Dean Wade,CLE,65,5.1,4.4,1.3,0.7,0.3,0.4,0.415,0.342,0.563,5.1,4.4,76.9,257,249,148
Cody Williams,UTA,47,4.9,2.3,1.2,0.5,0.3,0.9,0.311,0.246,0.413,2.5,-6.9,17.0,260,263,263
Nicolas Batum,LAC,72,4.6,3.1,1.3,0.8,0.6,0.5,0.417,0.418,0.608,4.8,2.1,61.1,261,251,61
Andre Jackson Jr.,MIL,49,4.2,3.4,1.6,0.6,0.3,1.2,0.443,0.297,0.51,3.6,-0.3,55.1,262,261,238
Gary Harris,ORL,43,3.4,1.4,0.7,0.7,0.2,0.3,0.348,0.285,0.456,2.8,0.6,51.2,263,262,261
