player,team,games_played,avg_pts,avg_reb,avg_ast,avg_stl,avg_blk,avg_tov,avg_fg_pct,avg_3p_pct,avg_ts_pct,avg_gmsc,avg_plus_minus,win_pct,pts_rank,gmsc_rank,ts_rank
Anfernee Simons,POR,69,19.5,2.7,4.9,0.9,0.1,2.1,0.412,0.343,0.543,13.3,-3.2,39.1,44,69,191
Scottie Barnes,TOR,65,19.3,7.7,5.8,1.4,1.0,2.8,0.445,0.271,0.523,15.9,-2.0,40.0,46,42,224
Domantas Sabonis,SAC,70,19.2,14.1,6.1,0.7,0.4,3.0,0.598,0.364,0.666,19.6,1.7,50.0,47,10,8
Desmond Bane,MEM,75,19.2,6.1,5.3,1.1,0.4,2.6,0.467,0.376,0.585,15.3,1.2,52.0,47,47,95
Julius Randle,MIN,84,19.2,6.8,4.7,0.7,0.2,2.9,0.48,0.311,0.591,14.9,2.5,63.1,47,50,83
Jimmy Butler,GSW,41,19.1,5.9,5.9,1.6,0.3,1.4,0.474,0.288,0.607,19.1,3.5,68.3,50,17,62
Lauri Markkanen,UTA,47,19.0,5.9,1.5,0.7,0.4,1.4,0.431,0.346,0.576,13.2,-4.0,19.1,51,72,115
Cameron Johnson,BRK,57,18.8,4.3,3.4,0.9,0.4,1.7,0.478,0.402,0.635,14.8,-3.5,36.8,52,52,20
Collin Sexton,UTA,62,18.7,2.7,4.3,0.8,0.1,2.6,0.482,0.376,0.598,12.9,-4.6,22.6,53,79,69
Shaedon Sharpe,POR,72,18.5,4.5,2.8,0.9,0.2,2.1,0.446,0.308,0.548,12.2,-1.9,44.4,54,83,182
Tyrese Haliburton,IND,95,18.4,4.0,9.2,1.4,0.7,1.8,0.45,0.354,0.582,18.5,3.7,64.2,55,20,102
Evan Mobley,CLE,79,18.4,9.2,3.0,0.9,1.5,2.0,0.552,0.336,0.632,17.0,7.1,79.7,55,31,22
Nikola Vučević,CHI,74,18.4,10.1,3.5,0.8,0.7,1.6,0.535,0.394,0.615,16.6,-1.6,45.9,55,36,45
Bam Adebayo,MIA,84,18.0,9.7,4.3,1.3,0.7,2.1,0.475,0.303,0.549,16.1,-0.3,45.2,58,40,178
OG Anunoby,NYK,92,17.7,4.8,2.0,1.6,0.9,1.4,0.454,0.351,0.569,13.6,2.9,59.8,59,65,130
Andrew Wiggins,GSW,43,17.6,4.6,2.4,0.9,0.8,1.3,0.433,0.363,0.556,13.2,-1.3,48.8,60,72,165
Malik Monk,SAC,63,17.6,3.8,5.7,1.0,0.6,2.5,0.437,0.304,0.549,12.9,1.8,54.0,60,79,178
Mikal Bridges,NYK,99,17.4,3.4,3.6,1.1,0.6,1.7,0.489,0.324,0.566,13.0,2.7,60.6,62,77,138
Deni Avdija,POR,71,17.1,7.3,3.9,1.0,0.5,2.7,0.462,0.343,0.591,13.8,-1.1,45.1,63,62,83
Kristaps Porziņģis,BOS,53,17.0,6.3,1.8,0.8,1.4,1.2,0.44,0.369,0.576,13.6,3.4,67.9,64,65,115
Bradley Beal,PHO,53,17.0,3.3,3.7,1.1,0.5,1.9,0.481,0.365,0.58,12.7,-5.2,41.5,64,81,107
Ivica Zubac,LAC,87,16.8,12.4,2.6,0.7,1.1,1.6,0.626,0.0,0.64,17.2,5.7,60.9,66,29,19
Michael Porter Jr.,DEN,91,16.8,6.8,1.9,0.6,0.5,1.3,0.482,0.378,0.596,13.0,2.7,59.3,66,77,74
Keyonte George,UTA,67,16.8,3.8,5.6,0.7,0.1,2.7,0.391,0.328,0.539,11.6,-7.6,19.4,66,90,197
Derrick White,BOS,87,16.7,4.6,4.6,0.9,1.1,1.7,0.445,0.381,0.61,14.2,6.4,73.6,69,59,55
Devin Vassell,SAS,64,16.3,4.0,2.9,1.3,0.5,1.4,0.434,0.356,0.545,11.9,-4.1,37.5,70,86,189
Paul George,PHI,41,16.2,5.3,4.3,1.8,0.5,2.6,0.421,0.345,0.527,12.2,-2.0,36.6,71,83,218
Malik Beasley,DET,88,16.1,2.6,1.7,0.9,0.1,1.0,0.424,0.406,0.582,10.5,1.8,52.3,72,106,102
Jonathan Kuminga,GSW,53,15.8,4.4,2.2,0.8,0.5,1.5,0.451,0.276,0.533,10.9,-0.9,54.7,73,97,210
Mark Williams,CHO,43,15.5,10.3,2.5,0.7,1.2,1.6,0.611,0.0,0.651,15.6,-6.7,20.9,74,45,13
Chet Holmgren,OKC,54,15.3,8.4,1.6,0.7,2.1,1.6,0.476,0.343,0.581,13.3,8.5,77.8,75,69,105
Aaron Gordon,DEN,63,15.3,5.6,3.2,0.5,0.3,1.6,0.512,0.403,0.626,13.1,5.1,61.9,75,75,31
Myles Turner,IND,94,15.3,6.2,1.5,0.7,2.0,1.7,0.49,0.372,0.62,12.2,2.8,61.7,75,83,39
Bennedict Mathurin,IND,91,15.3,5.0,1.7,0.6,0.3,1.7,0.453,0.321,0.578,10.7,0.3,60.4,75,100,111
Kelly Oubre Jr.,PHI,60,15.1,6.1,1.8,1.5,0.5,1.3,0.47,0.261,0.552,11.6,-4.3,35.0,79,90,172
Christian Braun,DEN,93,15.0,5.4,2.6,1.1,0.5,1.0,0.561,0.334,0.648,13.3,5.0,59.1,80,69,17
Stephon Castle,SAS,80,14.9,3.7,4.1,0.9,0.3,2.2,0.416,0.271,0.506,10.5,-2.8,41.3,81,106,243
Josh Giddey,CHI,71,14.7,8.1,7.1,1.2,0.6,2.9,0.462,0.385,0.563,14.7,-1.1,46.5,82,53,148
Fred VanVleet,HOU,67,14.6,3.7,5.4,1.5,0.4,1.5,0.369,0.342,0.511,11.9,4.3,65.7,83,86,235
Jakob Poeltl,TOR,57,14.5,9.6,2.8,1.2,1.2,1.9,0.612,0.018,0.629,14.6,-0.6,36.8,84,54,27
P.J. Washington,DAL,59,14.5,7.7,2.3,1.1,1.0,2.1,0.436,0.348,0.534,11.4,1.1,54.2,84,92,208
Jerami Grant,POR,47,14.4,3.5,2.1,0.9,1.0,1.4,0.369,0.362,0.508,9.5,-4.3,46.8,86,128,242
Gradey Dick,TOR,54,14.4,3.6,1.8,0.9,0.2,1.5,0.4,0.347,0.525,9.1,-3.9,27.8,86,138,222
Amen Thompson,HOU,76,14.2,8.1,3.8,1.4,1.3,2.0,0.546,0.152,0.595,14.3,3.6,60.5,88,58,77
Klay Thompson,DAL,74,14.1,3.4,2.0,0.7,0.4,1.2,0.409,0.372,0.548,9.6,-0.8,45.9,89,127,182
Dyson Daniels,ATL,78,14.0,6.0,4.4,3.0,0.7,2.0,0.494,0.343,0.546,13.7,-1.0,47.4,90,64,188
Payton Pritchard,BOS,91,14.0,3.6,3.3,0.8,0.2,1.0,0.449,0.381,0.602,11.7,5.5,71.4,90,89,66
Tobias Harris,DET,79,13.9,6.1,2.1,1.0,0.8,1.2,0.475,0.307,0.567,11.4,2.1,53.2,92,92,135
